Name,kokudaka,period
德川家康,256,before
毛利辉元,121,before
上杉景胜,120,before
前田利长,84,before
岛津义弘,60,before
伊达政宗,59,before
宇喜多秀家,57,before
佐竹义宣,54,before
小早川秀秋,36,before
德川家康,400,after
毛利辉元,37,after
上杉景胜,30,after
前田利长,119,after
岛津义弘,0,after
伊达政宗,62,after
宇喜多秀家,0,after
佐竹义宣,20,after
小早川秀秋,51,after
